country_m49,country,mean_intensity_kg_co2e_per_t,std_intensity_kg_co2e_per_t,q05_kg_co2e_per_t,q50_kg_co2e_per_t,q95_kg_co2e_per_t
524,Nepal,0.19916313248228812,0.024172458418274725,0.16124570976197236,0.1987970735551298,0.23893871938041975
528,Netherlands (Kingdom of the),0.01588433434782155,0.00047669839118028566,0.015216195206363999,0.015799506980013624,0.016807103502493655
540,New Caledonia,0.07824362849769631,0.0021295095847721117,0.07542055123413338,0.07792095342287292,0.08236322260870957
548,Vanuatu,0.5161500051525479,0.01133565703903637,0.5028290974803848,0.5149347401958523,0.5337868079687123
554,New Zealand,0.02471727822679788,0.0002620734182735674,0.024278358741388305,0.02471336045702324,0.025154574701913422
558,Nicaragua,0.05230627492404181,0.0010243042495993318,0.05073041830605962,0.05225999833089801,0.05388778454103651
562,Niger,0.5280605383074074,0.062221767405787914,0.4338294737823853,0.5240907801683778,0.637105673435494
566,Nigeria,0.19779408367981707,0.00201489390207377,0.19458500679595292,0.1977836229560433,0.20139061543338135
570,Niue,0.15368938106594363,0.0015739690359253536,0.15112437256043873,0.15371676043456256,0.15615658223822554
578,Norway,0.019947994012164055,0.0005494822724746692,0.019135429158471016,0.01990700304486194,0.02096632353488969
586,Pakistan,0.13780918721692603,0.017573511643695774,0.11051469794296843,0.13656921822073115,0.16933268025701348
591,Panama,0.0557916599098632,0.0011136564957524267,0.053869989354080626,0.055743344916135085,0.057594964751566745
598,Papua New Guinea,1.7852001825816013,0.1239861577279686,1.6035022378774955,1.7762287009333488,1.9948205951437903
600,Paraguay,0.028019638277339325,0.0005168154092803856,0.027192119513969083,0.027995352871422317,0.02884180363078198
604,Peru,0.03151714241660803,0.000540128387985361,0.030746000419408837,0.03147274030407826,0.03250462225923717
608,Philippines,0.04177132440603207,0.0005354582044564157,0.04086409581957421,0.04179097841688771,0.042573911406136096
616,Poland,0.015314428853173074,0.00033043842090344714,0.014782905091411875,0.015307186664260728,0.01585207781866909
620,Portugal,0.02460630335846497,0.0024822796198729936,0.021174701266129036,0.024340552970048633,0.02898406117974987
624,Guinea-Bissau,1.1214422096913819,0.12093270773642623,0.9397692851288729,1.11293791224161,1.324806567106433
626,Timor-Leste,0.18760514174060552,0.08621680547418177,0.08407315562555671,0.17564245053820626,0.34379329811558146
630,Puerto Rico,0.019455379056619166,0.0003064408387245888,0.019001291762775707,0.019423942632835194,0.019986975194644544
634,Qatar,0.34961827095255077,0.06163060721634147,0.2665548889455618,0.34071164532063725,0.4559690307299351
642,Romania,0.07611176966090667,0.009228306742433637,0.06259716584304832,0.07534804579653831,0.09099352471867359
643,Russian Federation,0.021893148902879616,0.0005091730648933679,0.021170333329138803,0.021814347726920456,0.02283894630310799
646,Rwanda,0.16495756804476247,0.013393048937275994,0.14493833207146412,0.16394701309927864,0.18874842756115595
662,Saint Lucia,0.05263697542717498,0.0005224099019670407,0.051817048299239644,0.052611458945197614,0.05350576609247034
670,Saint Vincent and the Grenadines,0.04411670015673304,0.0006767675361494011,0.04308315498579022,0.044128126559849004,0.04524422256730708
678,Sao Tome and Principe,0.03470883481784547,0.0003922190817248,0.03404947795810861,0.0347145794034882,0.035340589742475226
686,Senegal,0.2788832593687488,0.03451872047809901,0.22696445612004063,0.2763735497949503,0.3398222171919517
688,Serbia,0.0414945897399239,0.002419814988095445,0.038437835781179236,0.04104765758070409,0.04589380243904936
690,Seychelles,0.07543428080763485,0.0013309744929100539,0.07326724847442834,0.07545407703191295,0.07768098432293634
694,Sierra Leone,0.036474716743674036,0.0003682447388991137,0.03588670352093847,0.036480223881800874,0.03704260018424698
