country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
643,Russian Federation,0.0004960958805957455,-0.002744414964718503,-0.0022483190841227577,-0.002248319084122999,2.411265631607762e-16,33011917.12,0.03529164826529396
646,Rwanda,-0.0005902525891634364,-0.004758149889919726,-0.005348402479083162,-0.005348402479083192,2.949029909160572e-17,244571.645,0.00026146123048925
662,Saint Lucia,0.0,-0.00022623642763690277,-0.00022623642763690277,-0.00022623642763690277,0.0,1029.315,1.1003972535779543e-06
670,Saint Vincent and the Grenadines,0.0,0.0003979655504970994,0.0003979655504970994,0.0003979655504970994,0.0,914.775,9.779473704762615e-07
678,Sao Tome and Principe,0.0,-0.0014208581833280026,-0.0014208581833280026,-0.0014208581833280026,0.0,567.2750000000001,6.06449776816071e-07
686,Senegal,0.00204060383378633,-0.029354875330359003,-0.027314271496572673,-0.027314271496572784,1.1102230246251565e-16,252294.97499999998,0.00026971791684908764
688,Serbia,0.0027840874397134334,-0.0039012206648415433,-0.00111713322512811,-0.001117133225128103,6.938893903907228e-18,1500266.0,0.0016038711046048907
690,Seychelles,0.0,-0.0015474949387562081,-0.0015474949387562081,-0.0015474949387562081,0.0,153.785,1.6440505738426594e-07
694,Sierra Leone,0.0,5.6859520377199047e-05,5.6859520377199047e-05,5.6859520377199047e-05,0.0,146580.345,0.00015670286459102317
703,Slovakia,0.00017536907776050513,-0.001003579569300655,-0.0008282104915401497,-0.0008282104915402003,5.0523821237824507e-17,927445.0,0.0009914923330997857
